InventoryID,BorrowingLanguageGlottocode,BorrowedSound,SourceLanguageGlottocode,OnlyInLoanwords,Result,NewDistinction,Comments.x,Verified,Glottocode,LanguageName,BibTexKey,Filename,Contributor,Comments.y,PhoibleID,ClosestNeighbor,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea,is_rhotic,to_analysis,another_native_rhotic,distinction_in_donor,source,rhotic_comment
501,yuag1237,r,"stan1290, stan1293",yes,new phoneme,rhotic,exact phonetic representation is not given.,NA,yuag1237,Yuaga,schooling1992yuanga,NA,Einav Levanon,NA,NA,NA,aust1307,extr1244,Yuaga,FALSE,language,vulnerable,-20.5664,164.51,nua,NA,NA,0,0,2,NC,yuag1237,nua,Papunesia,TRUE,Yes,No,,schooling1992yuanga: 100,
506,furu1242,ɾ,"sang1328, stan1290",yes,new phoneme,rhotic,long [r] occurs in interjections,Eitan Grossman,furu1242,Furu,fuu_boyeldieu2000,fuu_boyeldieu2000_phon.pdf,Elad Eisen,NA,878,NA,cent2225,barh1234,Furu,FALSE,language,safe,4.485,20.6448,fuu,NA,NA,0,0,0,CD CF,furu1242,fuu,Africa,TRUE,Yes,No,,boyeldieu2000furu: 32-33,
519,cham1318,r,stan1288,yes,new phoneme,rhotic,"it's not specified if it is a trill rothic or a tap rothic, although from the transcriptions it should be trill",NA,cham1318,Chamicuro,parker1991chamicuro,NA,David Ginebra,NA,NA,NA,araw1281,cham1317,Chamicuro,FALSE,language,critically endangered,-5.1149,-75.6778,ccc,NA,NA,0,0,0,PE,cham1318,ccc,South America,TRUE,Yes,No,,"parker1991chamicuro: 18, 23-24",
554,koya1253,r,tagb1257,yes,unknown,to be checked,/r/ was only noted in one word: [bárá] 'work' loaned from Dioula Tagbusi.,NA,koya1253,Koyaga,creissels1988koyaga,NA,Yael Assouline,the status of /z/ might have been affected by the introduction of loan words into the Koyaga language.,NA,NA,mand1469,koro1315,Koyaga,FALSE,language,safe,8.29177,-6.23255,kga,NA,NA,0,0,4,CI,koya1253,kga,Africa,TRUE,Yes,No,,"creissels1988koyaga: 19, 31",
564,nort2980,r,amer1254,mostly,phonologization of allophone,trill,"Only in Tarma dialect it is a phonologization of an allophone. 
In San Pedro de Cajas dialect it is a new phoneme.",NA,nort2980,Tarma Quechua,Adelaar1977tarma,NA,David Ginebra,"Should we consider this grammar as two different doculects? Glottolog doesn't do so, but for our project it would be definatelly clearer, because sometimes the same sound is borrowed in one dialect but not in the other or sometimes it is a new phoneme in one dialect but a distrubutional change in the other.",NA,NA,quec1387,yaru1256,North Junín Quechua,FALSE,language,vulnerable,-11.2132,-75.8128,qvn,NA,NA,0,0,0,PE,nort2980,qvn,South America,TRUE,Yes,Yes,Yes,adelaar1977tarma: 31-37,
566,bank1256,ɾ,unknown,yes,new phoneme,no,NA,NA,bank1256,Bankon,atindogbe1996bankon,NA,Yuval Sarig,NA,NA,NA,atla1278,abob1234,Bankon,FALSE,language,vulnerable,4.3702,9.6403,abb,NA,NA,0,0,0,CM,bank1256,abb,Africa,TRUE,Yes,No,,atindogbe1996bankon: 16-17,
569,wehh1238,ɹ,stan1293,yes,new phoneme,unknown,"only one example for such a word: 
[tɹéndʒà]
'stranger, guest' 
from English 
pg. 9",NA,wehh1238,Weh,davison2009weh,NA,Yuval Sarig,NA,NA,NA,atla1278,west2835,Weh,FALSE,language,safe,6.46164,10.121,weh,NA,NA,0,0,0,CM,wehh1238,weh,Africa,TRUE,Yes,No,,davison2009weh: 8,
569,wehh1238,ɾ,adam1253,yes,new phoneme,unknown,"Only one example:
[dùɾù]
'ox'
from Fulfulde 
pg. 9",NA,wehh1238,Weh,davison2009weh,NA,Yuval Sarig,NA,NA,NA,atla1278,west2835,Weh,FALSE,language,safe,6.46164,10.121,weh,NA,NA,0,0,0,CM,wehh1238,weh,Africa,TRUE,Yes,No,,davison2009weh: 8,
573,zulu1248,r,unknown,no,unknown,rhotic,Also in onomatopeic sounds and bird calls,NA,zulu1248,Zulu,crothers1979zulu,NA,Haggai Kovatch,NA,NA,NA,atla1278,zulu1251,Zulu,FALSE,language,safe,-25.3305,31.3512,zul,NA,NA,0,0,6,BW LS MZ SZ ZA,zulu1248,zul,Africa,TRUE,Yes,No,,crothers1979zulu: 125,
574,fuli1240,r,kiny1244,mostly,phonologization of allophone,rhotic,"could be ɾ as it is a liquid.
contrasts with [l]",NA,fuli1240,Fuliiru,vanotterloo2011fuliiru,NA,Haggai Kovatch,NA,NA,NA,atla1278,fuli1242,Fuliiru,FALSE,language,safe,-3.04022,28.9865,flr,NA,NA,0,0,0,BI CD,fuli1240,flr,Africa,TRUE,Yes,No,,vanotterloo2011fuliiru: 9,
